data_source,time_scale,time_id,k,theta,num_matches,mdd,med,dist90,log_like,iteration
simulation,annual,2012,-1.75811710433707,1.28431901191679,165586,4.33928017514317,3.282,9.5849,-1262644.45071097,1
simulation,annual,2013,-1.87643796461127,1.3662443423474,145152,4.62573508457263,3.5641,10.1143,-1224913.22857783,1
simulation,annual,2014,-1.66901123196807,1.21588916101523,152904,4.18689389101792,3.1123,9.3326,-1101165.06577717,1
simulation,total_years,2012-4,-1.7751269252851,1.29115702043282,463642,4.39211307039909,3.3274,9.6931,-3589879.47839696,1
simulation,monsoonal,NEM,-1.72136882316262,1.25066591773652,441082,4.28962383129858,3.2177,9.517,-3054913.55889687,1
simulation,monsoonal,SWM,-1.99105613584325,1.47859495649286,22560,4.87904365880415,3.8433,10.5324,-533231.104728232,1
simulation_subsample,annual,2012,-0.849823293731084,0.809119761185256,3,3.35293450443011,2.119,7.9865,-98.4145342801642,1
simulation_subsample,annual,2013,-2.35200215585988,4.57910632789579,17,5.09441619249308,4.8231,9.5948,-476.534785290053,1
simulation_subsample,annual,2014,-2.34555508417074,5,12,5.04384697411474,4.8089,9.4406,-481.928252140345,1
simulation_subsample,total_years,2012-4,-2.35408981416688,4.35792684547631,32,5.11822163962944,4.8249,9.6761,-1155.49289271203,1
simulation_subsample,monsoonal,NEM,-2.35543122849125,4.20785833497653,32,5.13591995789053,4.8261,9.7368,-1011.963245376,1
simulation_subsample,monsoonal,SWM,-2.3020466131663,5,0,4.82910238335027,4.6042,9.0386,-140.496430931691,1
genetics,annual,2012,-10,2.84828649917664,0,11235.8536234342,10088.1864,22129.2979,-0.155430995505359,1
genetics,annual,2013,1.16756003272298,0.361561513113407,22,10.5171838230333,3.6697,26.6032,-109.417659611651,1
genetics,annual,2014,0.915212010881733,0.326885949206191,14,27.8549407711926,8.676,69.8424,-77.5905171649491,1
genetics,total_years,2012-4,1.14871040162876,0.326588565221678,36,22.2090928938157,6.91,55.6804,-193.782610670119,1
genetics,monsoonal,NEM,3.4522367056245,0.243824096732368,7,35.2901422089943,7.3451,83.0167,-26.1946338565115,1
genetics,monsoonal,SWM,5.43495484247403,0.15,10,12518.8663048656,966.6552,21850.2423,-67.5531132440116,1
simulation,annual,2012,-1.76430274796455,1.28922353876565,165594,4.35083034027759,3.2946,9.6044,-1263393.42580392,2
simulation,annual,2013,-1.87370581224689,1.36288494284273,144788,4.62259593160305,3.5591,10.1115,-1225477.20254683,2
simulation,annual,2014,-1.67643471235973,1.22028846371401,152740,4.2026033088994,3.1277,9.362,-1101938.99512544,2
simulation,total_years,2012-4,-1.77832087099638,1.29314414137292,463122,4.39994302371144,3.3349,9.708,-3591873.2861896,2
simulation,monsoonal,NEM,-1.72568452466859,1.2538495157574,440615,4.29755881948545,3.2262,9.5306,-3053704.74414173,2
simulation,monsoonal,SWM,-1.99237037428961,1.47515498848356,22507,4.8936947889222,3.8524,10.568,-536450.985949052,2
simulation_subsample,annual,2012,-0.858536452725457,0.812072105578897,3,3.35772819606332,2.1258,7.9934,-98.2839043396473,2
simulation_subsample,annual,2013,-2.32113177474322,2.91341074654251,17,5.17519133459581,4.6614,10.1665,-501.401125023523,2
simulation_subsample,annual,2014,-2.32249278759775,5,11,4.92885536133392,4.6993,9.2253,-473.755460971962,2
simulation_subsample,total_years,2012-4,-2.34561999399669,3.59305656478233,31,5.15242996629179,4.764,9.9045,-1183.77536239496,2
simulation_subsample,monsoonal,NEM,-2.35269703061791,3.73246917342323,31,5.16975891721424,4.8,9.9027,-1004.23082207498,2
simulation_subsample,monsoonal,SWM,-2.29271167354046,2.9574971187754,0,5.01703927358669,4.5283,9.8393,-178.458375425011,2
genetics,annual,2012,-3.23329995246187,3.18974891469207,3,12.7003920255017,11.5779,24.7051,-15.9134249719926,2
genetics,annual,2013,0.0673804451273799,0.452680449175928,19,8.77214127593479,3.7976,22.235,-96.5434834709553,2
genetics,annual,2014,3.72950757646573,0.196688467548455,10,467.451254786332,66.5363,999.7184,-57.3400080932399,2
genetics,total_years,2012-4,0.447716664324543,0.369802769835476,32,18.6353137441439,6.6594,47.1959,-177.004176781771,2
genetics,monsoonal,NEM,2.60824029043138,0.261586375250098,6,37.9946366138026,8.8072,91.3084,-25.9402560827707,2
genetics,monsoonal,SWM,-3.40131897435461,5,8,14.4968729801164,13.8217,27.1338,-49.9527579442976,2
simulation,annual,2012,-1.75282226621701,1.2804363586864,165629,4.32854976362765,3.2709,9.566,-1261280.28996974,3
simulation,annual,2013,-1.87536573328219,1.36537785585842,144850,4.62321948901047,3.5615,10.1099,-1225568.53269152,3
simulation,annual,2014,-1.67195375587985,1.21677206237247,152830,4.19612095779709,3.1199,9.3521,-1101306.0652735,3
simulation,total_years,2012-4,-1.77398830962667,1.28999130424974,463309,4.39076481759081,3.3255,9.6916,-3589280.40673646,3
simulation,monsoonal,NEM,-1.72102983157997,1.25036942727112,440823,4.28915927366846,3.2171,9.5163,-3050971.39634706,3
simulation,monsoonal,SWM,-1.98822912444126,1.47384751419639,22486,4.87660066200123,3.838,10.5326,-536604.655462653,3
simulation_subsample,annual,2012,-2.89490493711405,5,3,8.73658107888407,8.3297,16.3523,-104.254269480305,3
simulation_subsample,annual,2013,-2.31201839108023,3.17700805174771,17,5.05774774874099,4.6084,9.8426,-483.327779963235,3
simulation_subsample,annual,2014,-2.3423740377207,5,12,5.02782775505155,4.7937,9.4106,-482.583985715354,3
simulation_subsample,total_years,2012-4,-2.35050299282823,3.72442305570565,32,5.15946144139313,4.7893,9.8849,-1168.42349130472,3
simulation_subsample,monsoonal,NEM,-2.35373907060227,3.61606796319652,30,5.19104671382669,4.8032,9.9727,-989.248556235835,3
simulation_subsample,monsoonal,SWM,-2.33760068448073,5,2,5.0038853453969,4.7708,9.3658,-175.432586682,3
genetics,annual,2012,-3.31419399476783,3.51278072016147,2,13.6051211290564,12.5475,26.2095,-11.8295815129232,3
genetics,annual,2013,0.440697408750954,0.424623533149331,23,8.34907552919618,3.4156,21.1952,-117.049203222804,3
genetics,annual,2014,0.211672923732345,0.358508402360197,13,28.9548125523959,10.0115,73.2025,-85.2087898565292,3
genetics,total_years,2012-4,0.0635895637489065,0.411448062705349,38,14.4418039436699,5.738,36.669,-220.234642660494,3
genetics,monsoonal,NEM,2.10676451803851,0.31776007026196,12,10.5604414560312,3.1793,26.3857,-42.5238161613576,3
genetics,monsoonal,SWM,-3.42532444692393,5,7,14.849087895664,14.1575,27.7931,-49.6530842604557,3
simulation,annual,2012,-1.75584589378599,1.28420260341857,165503,4.32980038268706,3.2748,9.5641,-1260294.74326027,4
simulation,annual,2013,-1.86565524831251,1.35790144858154,144973,4.5996394614503,3.5376,10.0674,-1223854.85262523,4
simulation,annual,2014,-1.67095489881988,1.21575546158593,152545,4.19551112212066,3.1186,9.352,-1101472.08762786,4
simulation,total_years,2012-4,-1.77094372679096,1.28829772680427,463021,4.382725148335,3.318,9.676,-3586639.01404082,4
simulation,monsoonal,NEM,-1.71774870155827,1.24848680288858,440334,4.28139083508591,3.2097,9.5015,-3050298.53666139,4
simulation,monsoonal,SWM,-1.98458441776919,1.47176848411772,22687,4.86384608300766,3.8265,10.5074,-534644.499738263,4
simulation_subsample,annual,2012,-0.880279405615738,0.819777918503121,3,3.36798269717072,2.1419,8.0062,-97.3520098451309,4
simulation_subsample,annual,2013,-2.29366925941971,2.84919443374338,19,5.05548993409806,4.5393,9.9566,-495.295862837609,4
simulation_subsample,annual,2014,-2.31555563932741,5,13,4.89478148530191,4.6668,9.1616,-469.7087691387,4
simulation_subsample,total_years,2012-4,-2.33768495073436,3.52060086756663,35,5.12276293797883,4.7257,9.8666,-1176.07659902361,4
simulation_subsample,monsoonal,NEM,-2.33141170235625,3.43178926018309,31,5.10544327844961,4.6959,9.8577,-1040.23281583477,4
simulation_subsample,monsoonal,SWM,-2.39151429541858,5,4,5.28106768682759,5.0351,9.8846,-133.860120664045,4
genetics,annual,2012,-3.31419399476783,3.51278072016147,2,13.6051211290564,12.5475,26.2095,-11.8295815129232,4
genetics,annual,2013,-3.29646815786445,5,17,13.0538375168606,12.4459,24.4329,-96.0111060462295,4
genetics,annual,2014,0.869579296519355,0.318462892815493,13,35.754944863765,10.7933,89.3615,-79.3297042813053,4
genetics,total_years,2012-4,-3.34715477565159,5,32,13.7325478535606,13.093,25.7032,-193.110906197781,4
genetics,monsoonal,NEM,-2.90568486325674,2.00015116786387,6,10.3118049143325,8.7172,21.2577,-31.5911667286892,4
genetics,monsoonal,SWM,-3.39844140325254,5,8,14.4552171598946,13.782,27.0559,-53.0224169315663,4
simulation,annual,2012,-1.75356745055979,1.28102524300987,165454,4.32991832683634,3.2724,9.5683,-1262425.67305833,5
simulation,annual,2013,-1.87027523298923,1.36145547994854,145378,4.61081135733171,3.5489,10.0875,-1223693.73118202,5
simulation,annual,2014,-1.6710099263447,1.21656717781149,152453,4.19288292700971,3.1174,9.3451,-1101697.32183223,5
simulation,total_years,2012-4,-1.77194166185859,1.28871562538446,463285,4.38578752192871,3.3207,9.6822,-3588882.38912395,5
simulation,monsoonal,NEM,-1.71844491372313,1.24842030882345,440815,4.2845953009135,3.2121,9.5087,-3052103.96157778,5
simulation,monsoonal,SWM,-1.98511678882632,1.4738886595703,22470,4.86135291896525,3.826,10.4996,-535088.599628881,5
simulation_subsample,annual,2012,-0.858536452725457,0.812072105578897,3,3.35772819606332,2.1258,7.9934,-98.2839043396473,5
simulation_subsample,annual,2013,-2.36209154695467,5,18,5.12794781059434,4.8891,9.598,-472.879885177424,5
simulation_subsample,annual,2014,-2.35819372454123,5,12,5.10799888462571,4.8701,9.5607,-485.754333014069,5
simulation_subsample,total_years,2012-4,-2.36904460612839,4.66361454675808,33,5.17763784095322,4.9094,9.7384,-1153.07081101959,5
simulation_subsample,monsoonal,NEM,-2.37404282463684,4.55886856559246,32,5.20905100891692,4.9298,9.8139,-1011.52053716812,5
simulation_subsample,monsoonal,SWM,-2.2931962034535,5,1,4.7865514231788,4.5636,8.959,-139.059648284213,5
genetics,annual,2012,-3.31834817250068,3.94548363803,3,13.5142343067732,12.62,25.7592,-18.6902875705831,5
genetics,annual,2013,-3.26580178265985,5,25,12.6595994593159,12.07,23.695,-137.618063621395,5
genetics,annual,2014,3.24381444085014,0.209852355681432,12,293.511699490435,47.2593,649.4223,-75.8206975446556,5
genetics,total_years,2012-4,-3.33745262166042,5,40,13.5999568090446,12.9666,25.4551,-241.154543733109,5
genetics,monsoonal,NEM,0.303000315870816,0.400719739162267,5,13.197219900573,5.113,33.5037,-23.4697645466796,5
genetics,monsoonal,SWM,-3.36256511116766,5,16,13.945810023859,13.2963,26.1024,-105.713205482547,5
simulation,annual,2012,-1.75493684830905,1.28295381476057,165923,4.32977991402298,3.2738,9.5656,-1260826.35772788,6
simulation,annual,2013,-1.86933635533974,1.36009871235576,144920,4.6103357004969,3.5475,10.0881,-1224503.58036514,6
simulation,annual,2014,-1.66695554423411,1.21383956093533,152644,4.1855146693382,3.1096,9.3322,-1099172.41344976,6
simulation,total_years,2012-4,-1.77094613352336,1.28808977350061,463487,4.38338924211879,3.3184,9.6777,-3585605.72917763,6
simulation,monsoonal,NEM,-1.71763648678157,1.24824521600918,440963,4.2817189964871,3.2098,9.5025,-3050439.89480128,6
simulation,monsoonal,SWM,-1.98643820271738,1.473225467857,22524,4.86936705978302,3.8319,10.5176,-533452.39565019,6
simulation_subsample,annual,2012,-0.361456847129259,0.692676483524176,3,2.92860410036884,1.7068,7.1348,-93.9190114776793,6
simulation_subsample,annual,2013,-2.31543062280937,3.32971061728644,20,5.04301499168553,4.6218,9.7666,-483.837266229288,6
simulation_subsample,annual,2014,-2.33323252301692,3.15203875440227,12,5.17208680401882,4.7078,10.0735,-514.985768186154,6
simulation_subsample,total_years,2012-4,-2.33437956862075,3.24570182431344,35,5.15673069375113,4.7112,10.0129,-1188.56325145606,6
simulation_subsample,monsoonal,NEM,-2.33755216808804,3.17698209006464,35,5.18856010353805,4.7276,10.0972,-1078.02237949459,6
simulation_subsample,monsoonal,SWM,-2.29861718758539,5,0,4.8125697011092,4.5884,9.0077,-105.208125353262,6
genetics,annual,2012,-3.23329995246187,3.18974891469207,3,12.7003920255017,11.5779,24.7051,-15.9134249719926,6
genetics,annual,2013,-3.27286874998901,5,23,12.7493813041201,12.1556,23.863,-128.852888542879,6
genetics,annual,2014,1.98225499817721,0.27393408399282,15,44.563313281764,11.0417,108.3594,-75.2057734543795,6
genetics,total_years,2012-4,0.058949319789969,0.416263400090776,41,13.6098097774825,5.4667,34.5558,-232.615956733647,6
genetics,monsoonal,NEM,-1.14949542553331,0.596695586669149,5,9.88743015842645,5.2645,24.5377,-26.2027779035587,6
genetics,monsoonal,SWM,-3.3605427506392,5,15,13.9176350676919,13.2695,26.0497,-96.7961359750824,6
