data_source,time_scale,time_id,k,theta,num_matches,num_recruits,mdd,med,dist90,log_like,iteration
simulation,annual,2012,-0.380920249056006,0.635644220238207,165446,340446,3.77722424583788,2.0931,9.3051,-725208.855685482,1
simulation,annual,2013,-0.637792341312751,0.67873600500467,145127,317731,4.07022668453389,2.3448,9.9432,-663619.899590289,1
simulation,annual,2014,0.0769056505816672,0.564084457097299,152813,297086,3.50168301209688,1.7955,8.7414,-630137.156245553,1
simulation,total_years,2012-4,-0.308321596349006,0.62091099471089,463386,955263,3.76622352468475,2.0569,9.3042,-2022419.25349625,1
simulation,monsoonal,NEM,-0.427679611873088,0.656351438436521,440760,826990,3.61262486864611,2.0409,8.864,-1865043.16450377,1
simulation,monsoonal,SWM,0.245500876162367,0.466790188311777,22626,128273,6.34978568575204,2.821,16.0748,-128456.350149206,1
simulation_subsample,annual,2012,-0.858536452725457,0.812072105578897,3,63,3.35772819606332,2.1258,7.9934,-98.2839043396473,1
simulation_subsample,annual,2013,-2.36087749412401,5,18,150,5.12172598861391,4.8832,9.5863,-466.717869691159,1
simulation_subsample,annual,2014,-2.31473504574636,5,12,181,4.89076650659259,4.663,9.1541,-470.592133056973,1
simulation_subsample,total_years,2012-4,-2.36035980312203,4.66392157435965,33,394,5.13285081576045,4.867,9.6541,-1143.63930107006,1
simulation_subsample,monsoonal,NEM,-2.34687299325974,5,33,349,5.05049868809974,4.8153,9.453,-1016.02615005971,1
simulation_subsample,monsoonal,SWM,-2.25618914172984,2.44688006671623,0,45,5.0385873096458,4.4195,10.1076,-111.366661152734,1
genetics,annual,2012,-3.17590873742546,3.25798273132475,5,63,11.9570702229876,10.9292,23.2081,-28.5532445561058,1
genetics,annual,2013,-3.2598823061721,5,25,150,12.5848826184378,11.9988,23.5552,-132.9888765003,1
genetics,annual,2014,0.851573206918335,0.326271998785686,17,181,30.1172006611147,9.3597,75.4982,-110.538067084706,1
genetics,total_years,2012-4,-3.31954776209196,5,47,394,13.3586185038717,12.7365,25.0034,-273.916130102867,1
genetics,monsoonal,NEM,-2.85908148408687,2.0748045947756,9,68,9.70266909561755,8.262,19.8985,-41.5957282622123,1
genetics,monsoonal,SWM,-3.35022609906607,5,17,202,13.7747897854351,13.1333,25.7823,-107.427305758131,1
simulation,annual,2012,-0.399114549437883,0.639186443782821,165896,340446,3.78494952001212,2.1045,9.3177,-727939.462774018,2
simulation,annual,2013,-0.636351979084429,0.677845756578504,144485,317731,4.07848887787698,2.3478,9.9651,-661403.548195891,2
simulation,annual,2014,0.0567785504370696,0.56709353202152,152678,297086,3.50731364732571,1.805,8.7509,-629836.406814435,2
simulation,total_years,2012-4,-0.320722233722299,0.623040793948123,463059,955263,3.77402966522058,2.0656,9.3197,-2022592.77743068,2
simulation,monsoonal,NEM,-0.438956382242615,0.658421536841652,440493,827517,3.62183428399574,2.0499,8.883,-1865590.97955085,2
simulation,monsoonal,SWM,0.227659926007636,0.468629488459505,22566,127746,6.34801638149325,2.8294,16.0673,-128208.850810295,2
simulation_subsample,annual,2012,-0.858536452725457,0.812072105578897,3,63,3.35772819606332,2.1258,7.9934,-98.2839043396473,2
simulation_subsample,annual,2013,-2.31606729041834,5,17,150,4.8972865463927,4.6692,9.1663,-455.666801113857,2
simulation_subsample,annual,2014,-2.29750319973757,5,12,181,4.80721154196165,4.5833,8.9977,-465.296360032169,2
simulation_subsample,total_years,2012-4,-2.3202596290821,5,32,394,4.91786072696117,4.6888,9.2048,-1123.1533018258,2
simulation_subsample,monsoonal,NEM,-2.31464463678629,5,30,327,4.89032435746619,4.6626,9.1532,-912.95694057,2
