Cabatoan,Caridad Cemetery,Caridad Proper,Elementary School,Gabas,Haina,Hicgop South,Magbangon,Palanas,Poroc Rose,Poroc San Flower,San Agustin,Sitio Baybayon,Sitio Lonas,Sitio Tugas,Tamakin Dacot,Visca,Wangag
454,699,877,8,0,0,651,429,66,13,22,87,416,87,59,0,0,126
310,1761,1132,44,0,0,84,354,57,10,32,199,357,166,54,0,0,69
404,563,784,11,0,0,77,291,35,19,92,325,442,307,71,0,0,53
185,360,769,524,0,5,1536,246,31,42,70,176,193,252,652,0,0,31
48,35,95,961,6253,38,654,73,8,172,448,2136,102,3555,912,25,2843,5
16,1,9,127,20,1366,40,9,1,27,36,78,10,19,49,827,41,0
554,862,1587,531,4,19,1208,337,90,174,353,484,615,677,513,12,4,140
400,1034,1146,12,0,0,343,175,177,6,15,71,688,71,45,0,0,215
209,161,190,1,0,0,12,143,42,0,0,0,1406,0,13,0,0,239
63,180,418,419,1,36,179,7,6,273,506,811,75,2011,440,32,99,13
17,72,278,508,0,46,289,16,7,594,788,1768,35,3255,615,29,163,16
114,64,426,655,0,5,378,86,9,1006,993,2159,68,4072,562,7,61,15
1025,2131,2998,4,0,8,351,1221,624,10,28,217,8017,71,173,4,0,1080
207,202,860,218,0,0,2869,163,28,6,18,278,191,8805,1270,0,9,18
212,249,431,32,0,0,27,112,30,29,43,121,561,211,90,0,0,66
1,3,5,0,42,6920,11,1,0,10,3,10,1,20,4,31582,220,0
33,19,198,507,3,33,162,28,3,388,736,1615,32,2608,344,50,115,1
412,680,885,0,0,0,95,593,221,4,0,4,3334,7,12,0,0,447
7705,8811,8863,5370,648,16722,9199,7944,7199,1714,2276,4265,16027,5719,4436,57650,2807,7440
